,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
142,J7,http://www.cmegroup.com/trading/fx/g10/e-mini-japanese-yen_contract_specifications.html,CME Globex: J7CME ClearPort: J7Clearing: J7 ,Deliverable ,,"6,250,000 Japanese yen ",$.0000010 per Japanese yen increments ($6.25/contract). ,9:16 a.m. Central Time (CT) on the second day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
143,JE,http://www.cmegroup.com/trading/energy/refined-products/eia-flat-tax-us-retail-gasoline-swap-futures_quotes_settlements_futures.html,,,,,,,
144,JM,http://www.cmegroup.com/trading/energy/electricity/pjm-peak-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: JMLCME ClearPort: JMClearing: JM ,Financially Settled ,The contract quantity is based on a flow of 2.5 Mega-watt Hours (MWHmegawatts) per hour for each peak hour of the contract month. The daily flow is 40 MWHMWh. One contract shall equal the daily flow multiplied by the number of peak days remaining in the contract month not including the current business day. ,2.5 MW per peak hour)multiplied by the number of peak hours in the month ,$0.05 per MWh ,CME Globex: ,CME Globex: 
145,JP,http://www.cmegroup.com/trading/energy/electricity/pjm-off-peak-lmp-swap_contract_specifications.html,CME Globex: AJPCME ClearPort: JPClearing: JP ,Financially Settled ,The contract quantity is based on 2.5 Megawatts (MW) multiplied by total off-peak hours in the contract month. The contract quantity is expressed in Megawatt Hours (MWH). Each futures contract shall be valued as the contract quantity multiplied by the settlement price. ,2.5 megawatt hours (Mwh) times the number of off-peak hours in the contract month. ,$0.05 per MWh ,CME Globex: ,CME Globex: 
146,JPY,http://www.cmegroup.com/europe/products/fx/majors/usd-jpy_contract_specifications.html,,,,,,,
147,JR,http://www.cmegroup.com/trading/equity-index/us-index/dow-jones-rei_contract_specifications.html,CME Globex: RX ,Financially Settled ,,$100 x Dow Jones U.S. Real Estate Index ,Outright: 0.10 index points=$10.00 Calendar Spreads: 0.10 index points=$10.00 BTIC: 0.10 index points=$10.00 ,Trading can occur up to 9:30 a.m. ET on the 3rd Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
148,JS,http://www.cmegroup.com/trading/energy/refined-products/los-angeles-jet-fuel-opis-spread-swap_contract_specifications.html,CME Globex: AJSCME ClearPort: JSClearing: JS ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
149,JY,http://www.cmegroup.com/trading/fx/g10/japanese-yen_contract_specifications.html,CME Globex: 6J ,Deliverable ,,"12,500,000 Japanese yen ",Outrights: .0000005 USD per JPY increments (6.25 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
150,K2,http://www.cmegroup.com/trading/energy/electricity/miso-cinergy-hub-5-mw-off-peak-day-ahead-swap-futures_contract_specifications.html,CME Globex: K2LCME ClearPort: K2 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the last business day of the month prior to the contract month, each K2/K2L open position converts into a strip of MISO Indiana Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures - FAD/FAL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
151,K3,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-a-5-mw-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: K3L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the last business day of the month prior to the contract month, each K3/K3L open position converts into a strip of NYISO Zone A Day-Ahead Peak Calendar-Day 5 MW Futures - AN/ANL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
152,K4,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-a-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: K4LCME ClearPort: K4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the last business day of the month prior to the contract month, each K4/K4l open position converts into a strip of NYISO Zone A Day-Ahead Off-Peak Calendar-Day 5 MW Futures - ZAO/ZAL in the originally specified contract month.. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
153,KS,http://www.cmegroup.com/trading/energy/refined-products/singapore-jet-kerosene-swap-futures_contract_specifications.html,CME Globex: AKSCME ClearPort: KSClearing: KS ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
154,KW,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/kc-wheat_contract_specifications.html,CME Globex: KECME ClearPort: KW ,Deliverable ,Cents and quarter cents per bushel ,"One contract (5,000 bushels) of deliverable ",1/4 cent per bushel ($12.50 per contract) ,The business day preceding the 15th calendar day of the month. 12:00 p.m. CT ,"Sunday - Friday, 7:00 p.m. - 7:45 a.m. CT and "
155,L1,http://www.cmegroup.com/trading/energy/electricity/pjm-western-hub-peak-calendar-month-real-time-lmp_contract_specifications.html,CME Globex: AL1 ,Deliverable ,U.S. dollars and cents per MWh. ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each L1/AL1 open position converts into a strip of PJM Western Hub Real-Time Peak Calendar-Day 5 MW Futures - JD/JDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
156,L3,http://www.cmegroup.com/trading/energy/electricity/pjm-northern-illinois-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: L3LCME ClearPort: L3 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the second to last business day of the month prior to the contract month, each L3/L3L open position converts into a strip of PJM Northern Illinois Hub Day Ahead Off-Peak Calendar-Day 5 MW Futures - PNO/POL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
157,L5,http://www.cmegroup.com/trading/energy/electricity/pjm-ppl-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AL5 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
158,L6,http://www.cmegroup.com/trading/energy/electricity/pjm-pseg-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AL6CME ClearPort: L6Clearing: L6 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
159,L9,http://www.cmegroup.com/trading/energy/electricity/nepool-w-central-mass-zone-5-off-peak-mw-day-ahead-swap-futures_contract_specifications.html,CME Globex: AL9 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
160,LB,http://www.cmegroup.com/trading/agricultural/lumber-and-pulp/random-length-lumber_contract_specifications.html,CME Globex: LBSCME ClearPort: LB ,Deliverable ,"Dollars per 1,000 board feet (mbf) ","110,000 nominal board feet (˜260 cubic meters) ",$.10 per mbf ($11 per contract) ,"Business day immediately preceding the 16th calendar day of the contract month, 12:05 p.m. ",Monday - Thursday: 9:00 a.m. - 4:00 p.m. 
161,LC,http://www.cmegroup.com/trading/agricultural/livestock/live-cattle_contract_specifications.html,CME Globex: LECME ClearPort: 48Clearing: 48 ,Deliverable ,Cents per pound ,"40,000 pounds (~18 metric tons) ",$.00025 per pound (=$10 per contract) ,"Last business day of the contract month, 12:00 p.m. ",CME ClearPort: 
162,LN,http://www.cmegroup.com/trading/agricultural/livestock/lean-hogs_contract_specifications.html,CME Globex: HECME ClearPort: LNClearing: LN ,Financially Settled ,Cents per pound ,"40,000 pounds (˜18 metric tons) ",$.00025 per pound ($10 per contract) ,"10th business day of the contract month, 12:00 p.m. ",Monday - Friday: 8:30 a.m. - 1:05 p.m. CT 
163,LT,http://www.cmegroup.com/trading/energy/refined-products/up-down-gulf-coast-ultra-low-sulfur-diesel-ulsd-vs-nymex-heating-oil-ho-spread-swap-futures_contract_specifications.html,CME Globex: LTCME ClearPort: LTClearing: LT ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
164,LY,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-ultra-low-sulfur-diesel-usld-platts-calendar-swap_contract_specifications.html,CME Globex: ALYCME ClearPort: LYClearing: LY ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading terminateson the last business day of the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. ET (4:00 p.m. CT) 
165,M6A,http://www.cmegroup.com/trading/fx/e-micros/e-micro-australian-dollar_contract_specifications.html,CME Globex: M6ACME ClearPort: M6AClearing: M6A ,Deliverable ,,"10,000 Australian dollars If USD/AUD = 0.6600 then contract = US$6,600 (= 10,000 AUD x US$0.6600/AUD) ",0.0001 USD/AUD (=US$1.00) ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
166,M6B,http://www.cmegroup.com/trading/fx/e-micros/e-micro-british-pound_contract_specifications.html,CME Globex: M6BCME ClearPort: M6BClearing: M6B ,Deliverable ,,"6,250 British pounds If USD/GBP = 1.5000 then contract = $9,375 (= £6,250 x $1.5000/£) ",0.0001 USD/GBP (=US$0.625) ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
167,M6E,http://www.cmegroup.com/trading/fx/e-micros/e-micro-euro_contract_specifications.html,CME Globex: M6ECME ClearPort: M6EClearing: M6E ,Deliverable ,,"12,500 euros If USD/EUR = 1.3000 then contract = $16,250 (= €12,500 x $1.3000/€) ",0.0001 USD/EUR (=US$1.25) ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
168,MBE,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-spot-ethylene-in-well-futures_contract_specifications.html,CME Globex: MBECME ClearPort: MBEClearing: MBE ,Deliverable ,U.S. dollars and cents per pound ,"100,000 pounds ",$0.00001 per pound ,"No trades in Mont Belvieu Spot Ethylene In-Well (PCW) Futures deliverable in the current month shall be made after the second-to-last business day of the delivery month (the “last trade date”). In the event that the originally listed last trade date is declared a holiday, the last trade date will move to the business day immediately prior. Any contracts remaining open after the last trade date must be either: (A) Settled by delivery which shall take place on the last business day of the delivery month. (B) Liquidated by means of a bona fide Exchange for Related Position (“EFRP”). An EFRP is permitted in the expiring futures contract at any time before 2:30 p.m. on the last day of trading for the futures contract, provided, however, that an EFRP shall not be permitted on the first business day following the expired futures contract. ",CME Globex: 
169,MBN,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-ethylene-pcw-financial-swap-futures_contract_specifications.html,CME Globex: MBRCME ClearPort: MBNClearing: MBN ,Financially Settled ,U.S dollars and cents per pound ,"100,000 pounds ",$0.00001 per pound ,Trading terminates on the last business day of the contract month. ,CME Globex: 
170,MCC,http://www.cmegroup.com/trading/energy/coal/indonesian-coal-mccloskey-sub-bituminous-swap_contract_specifications.html,CME Globex: MCCCME ClearPort: MCCClearing: MCC ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per metric ton ,"1,000 metric tons ",The minimum price fluctuation shall be $0.05 (5¢) per metric ton. The minimum final settlement is $0.01 per metric ton. ,"The contract shall terminate at the close of trading on the last Friday of the contract month. If such Friday is a UK holiday, the contract will terminate on the UK business day immediately prior to the last Friday of the contract month unless such day is not an Exchange business day, in which case the contract shall terminate on the Exchange business day immediately prior. Notwithstanding the above, if New Year's Day is a Friday, the immediately preceding December contract month shall terminate on the last business day of the contract month. ",CME Globex: 
171,MD,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp-midcap-400_contract_specifications.html,CME Globex: EMD ,Financially Settled ,,$100 x S&P MidCap 400 Index ,Outright: 0.10 index points=$10.00  Calendar Spread: 0.05 index points=$5.00  BTIC: 0.05 index points=$5.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
172,ME,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-jet-fuel-vs-nymex-no-2-heating-oil-platts-spread-swap_contract_specifications.html,CME Globex: MECME ClearPort: MEClearing: ME ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
173,MEL,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-peak-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: MELCME ClearPort: EMClearing: EM ,Financially Settled ,The contract quantity is based on 2.5 megawatts per hour for each peak hour of the contract month. The daily total is 40 Megawatt hours (MWH). One contract shall equal the daily total multiplied by the number of peak days in the contract month. Each futures contract shall be valued as the contract quantity multiplied by the settlement price ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: 
174,MEO,http://www.cmegroup.com/trading/energy/refined-products/mini-gasoline-euro-bob-oxy-argus-new-barges-swap-futures_contract_specifications.html,CME Globex: MEOCME ClearPort: MEOClearing: MEO ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
175,MF,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no-6-fuel-oil-30pct-sulfur-platts-swap_contract_specifications.html,CME Globex: MFBCME ClearPort: MFClearing: MF ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
176,MFF,http://www.cmegroup.com/trading/energy/coal/coal-api-4-fob-richards-bay-argus-mccloskey_contract_specifications.html,CME Globex: MFFCME ClearPort: MFFClearing: MFF ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per metric ton ,"1,000 metric tons ",The minimum price fluctuation shall be $0.05 (5¢) per metric ton. The minimum final settlement is $0.01 per metric ton. ,"The contract shall terminate at the close of trading on the last Friday of the contract month. If such Friday is a UK holiday, the contract will terminate on the UK business day immediately prior to the last Friday of the contract month unless such day is not an Exchange business day, in which case the contract shall terminate on the Exchange business day immediately prior. Notwithstanding the above, if New Year's Day is a Friday, the immediately preceding December contract month shall terminate on the last business day of the contract month. ",CME Globex: 
177,MG,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no-6-fuel-oil-platts-crack-swap_contract_specifications.html,CME Globex: MGHCME ClearPort: MGClearing: MG ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
178,MGC,http://www.cmegroup.com/trading/metals/precious/e-micro-gold_contract_specifications.html,CME Globex: MGCCME ClearPort: MGCClearing: MGC ,Deliverable ,U.S. Dollars and Cents per troy ounce ,10 troy ounces ,0.10 per troy ounce = $1.00 ,Trading terminates on the third last business day of the delivery month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
179,MJN,http://www.cmegroup.com/trading/energy/refined-products/mini-japan-candf-naphtha-platts-swap_contract_specifications.html,CME Globex: MJNCME ClearPort: MJNClearing: MJN ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
180,MJY,http://www.cmegroup.com/trading/fx/e-micros/e-micro-japanese-yen-us-dollar_contract_specifications.html,CME Globex: MJYCME ClearPort: MJYClearing: MJY ,Deliverable ,,"1,250,000 JPY If USD/JPY = .011765, then contract = $14,706 (= ¥ 1,250,000 x $.011765/¥) ",0.000001 USD/JPY (= US$1.25) ,9:16 a.m. on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
181,MM,http://www.cmegroup.com/trading/energy/refined-products/new-york-harbor-residual-fuel-1pct-sulfur-platts-swap_contract_specifications.html,CME Globex: MMCME ClearPort: MMClearing: MM ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
182,MNB,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-normal-butane-ldh-opis-swap_contract_specifications.html,CME Globex: MNBCME ClearPort: MNBClearing: MNB ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
183,MNC,http://www.cmegroup.com/trading/energy/refined-products/mini-european-naphtha-platts-cif-nwe-swap-futures_contract_specifications.html,CME Globex: MNCCME ClearPort: MNCClearing: MNC ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
184,MNF,http://www.cmegroup.com/trading/equity-index/international-index/emicro-sandp-cnx-nifty-50-futures_contract_specifications.html,,,,,,,
185,MOD,http://www.cmegroup.com/trading/energy/electricity/pjm-atsi-zone-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: MDDCME ClearPort: MODClearing: MOD ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per MWH ,The contract quantity shall be 5 Megawatts Hours (MWH). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. Each futures contract shall be valued at the contract quantity multiplied by the settlement price. ,USD 0.05 per MWh ,CME Globex: ,CME Globex: 
186,MP,http://www.cmegroup.com/trading/fx/emerging-market/mexican-peso_contract_specifications.html,CME Globex: 6MCME ClearPort: MPClearing: MP ,Deliverable ,,"500,000 Mexican pesos ",$.00001 per Mexican peso increments ($5.00/contract). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
187,MPX,http://www.cmegroup.com/trading/energy/refined-products/nymex-new-york-harbor-heating-oil-calendar-swap_contract_specifications.html,CME Globex: MPXCME ClearPort: MPClearing: MP ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",0.0001 per gallon = $4.20 ,Trading terminates on the last business day of the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
188,MTF,http://www.cmegroup.com/trading/energy/coal/coal-api-2-cif-ara-argus-mccloskey_contract_specifications.html,CME Globex: MTFCME ClearPort: MTFClearing: MTF ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per metric ton ,"1,000 metric tons ",The minimum price fluctuation shall be $0.05 (5¢) per metric ton. The minimum final settlement is $0.01 per metric ton. ,"The contract shall terminate at the close of trading on the last Friday of the contract month. If such Friday is a UK holiday, the contract will terminate on the UK business day immediately prior to the last Friday of the contract month unless such day is not an Exchange business day, in which case the contract shall terminate on the Exchange business day immediately prior. Notwithstanding the above, if New Year's Day is a Friday, the immediately preceding December contract month shall terminate on the last business day of the contract month. ",CME Globex: 
189,MTS,http://www.cmegroup.com/trading/energy/refined-products/mini-singapore-fuel-oil-380-cst-platts-swap-futures_contract_specifications.html,CME Globex: MTSCME ClearPort: MTSClearing: MTS ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
190,N1,http://www.cmegroup.com/trading/energy/electricity/ercot-west-zone-mcpe-5-mw-peak-swap-futures_contract_specifications.html,CME Globex: AN1 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.01 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each N1/AN1 open position converts into a strip of ERCOT West 345 kV Hub 5 MW Peak Calendar-Day Futures - R1/AR1 in the originally specified contract month.  ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
191,N1U,http://www.cmegroup.com/trading/interest-rates/deliverable-swaps/10-year-deliverable-interest-rate-swap-futures_contract_specifications.html,CME Globex: N1UCME ClearPort: N1UClearing: N1U ,Deliverable ,"Prices are made in terms of price points: 100 points plus net present value (NPV) of IRS that meets Delivery Standard, where NPV is present value of IRS fixed-rate payments minus present value of IRS floating-rate payments as of 3rd Wednesday of Delivery Month. Par is on the basis of 100 points. ","$1,000 per point ($100,000 per contract) ","One-half of one thirty-second (1/32) of one point ($15.625, rounded to the nearest cent per contract), except for intermonth spreads, where the minimum price fluctuation is one-quarter of one thirty-second of one point ($7.8125 per contract) ",Second London business day before 3rd Wednesday of futures Delivery Month. Trading in expiring contracts closes at 2:00 p.m. on the last trading day. ,"5 p.m. to 4 p.m., Sun-Fri. "
192,N1Y,http://www.cmegroup.com/trading/equity-index/international-index/nikkei-225-yen_contract_specifications.html,CME Globex: NIY ,Financially Settled ,,¥500 (yen) x Nikkei Stock Average ,5.00 index points=¥2500 ,5:00 p.m. Eastern Time (ET) on the Thursday prior to the second Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) 
193,N3,http://www.cmegroup.com/trading/energy/electricity/pjm-northern-illinois-hub-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: N3L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the last business day of the month prior to the contract month, each N3/N3L open position converts into a strip of PJM Northern Illinois Hub Day-Ahead Peak Calendar-Day 5 MW Futures - PNP/PNL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
194,N9,http://www.cmegroup.com/trading/energy/electricity/pjm-western-hub-off-peak-calendar-month-real-time-lmp-swap-futures_contract_specifications.html,CME Globex: N9LCME ClearPort: N9 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the second to last business day of the month prior to the contract month, each N9/N9L open position into a strip of PJM Western Hub Real-Time Off-Peak Calendar-Day 5 MW Futures - WOR/WOL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
195,NE,http://www.cmegroup.com/trading/fx/g10/new-zealand-dollar_contract_specifications.html,CME Globex: 6NCME ClearPort: NEClearing: NE ,Deliverable ,,"100,000 New Zealand dollars ",$.0001 per New Zealand dollar increments ($10.00/contract). $.00005 per New Zealand dollar ($5.00/contract) for NZD/USD futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
196,NEN,http://www.cmegroup.com/trading/energy/natural-gas/ANR-OK-Basis-Swap-Platts-IFERC-Futures_contract_specifications.html,CME Globex: NENCME ClearPort: NEClearing: NE ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
197,NF,http://www.cmegroup.com/trading/agricultural/dairy/nonfat-dry-milk_contract_specifications.html,CME Globex: GNFCME ClearPort: NFClearing: NF ,Financially Settled ,Nonfat Dry Milk Cents per pound ,"44,000 lbs. of Nonfat Dry Milk ( ˜20 metric tons) ",$0.00025 per pound (= $11.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Nonfat Dry Milk price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
198,NFN,http://www.cmegroup.com/trading/energy/natural-gas/michcon-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NFNCME ClearPort: NFClearing: NF ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
199,NG,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas_contract_specifications.html,CME Globex: NGCME ClearPort: NG ,Deliverable ,U.S. dollars and cents per mmBtu. ,"10,000 million British thermal units (mmBtu). ",CME ClearPort: ,"Trading of any delivery month shall cease three (3) business days prior to the first day of the delivery month. In the event that the official Exchange holiday schedule changes subsequent to the listing of a Natural Gas futures, the originally listed expiration date shall remain in effect. In the event that the originally listed expiration day is declared a holiday, expiration will move to the business day immediately prior. ",CME Globex: 
200,NH,http://www.cmegroup.com/trading/energy/natural-gas/houston-ship-channel-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NHNCME ClearPort: NHClearing: NH ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
201,NJ,http://www.cmegroup.com/trading/energy/natural-gas/san-juan-basin-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NJCME ClearPort: NJClearing: NJ ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
